,Number of Locations,min_number,max_number,mean_number,GreaterFour
239,3,1,97,48.056241464080856,0
240,4,1,95,31.194140688754693,1
241,4,1,98,30.927139495397814,1
242,4,1,92,24.327920695736786,1
243,2,1,97,23.972095483700326,0
244,4,1,98,31.534775888717157,1
245,3,5,99,61.08769675554128,0
246,3,1,99,50.378151862464186,0
247,5,4,99,55.09393907228532,1
248,5,1,99,40.117087899798705,1
249,3,1,98,28.06225972340107,0
250,3,1,99,41.836983717618075,0
251,4,1,99,36.56622916498913,1
252,4,1,99,48.79724150872584,1
253,4,1,98,48.578395472703065,1
254,3,1,99,33.093943291077224,0
255,3,1,98,33.508361204013376,0
256,4,1,96,50.3292914761342,1
257,3,1,99,34.8258984375,0
258,2,1,98,31.70349680789321,0
259,3,1,94,30.438267299107142,0
260,4,1,96,28.236764888209283,1
261,2,1,75,16.173504273504275,0
262,1,1,52,20.438721136767317,0
263,1,1,23,13.288659793814434,0
264,3,8,85,33.4407158836689,0
265,2,1,91,34.53228797841848,0
266,1,1,97,48.52808479797065,0
267,3,1,89,37.58246527777778,0
268,3,7,96,66.29055330634279,0
269,1,3,99,63.199368337939205,0
270,2,1,93,11.86694526826638,0
271,2,19,97,59.31875253138923,0
272,1,11,93,63.69076305220884,0
273,2,37,92,70.28740157480316,0
274,2,27,95,58.74981074943225,0
275,2,6,90,51.41923076923077,0
276,2,1,96,63.66753216098194,0
277,1,33,93,73.79816513761467,0
278,1,7,88,65.81510015408321,0
279,2,1,92,36.416435826408126,0
280,2,2,99,60.246392496392495,0
281,2,11,93,48.13235294117647,0
282,1,1,96,41.90106467323593,0
283,1,1,93,49.742338961851154,0
284,2,25,97,74.63435237329043,0
285,2,19,94,67.35,0
286,1,28,90,53.664638783269965,0
287,2,20,73,39.91304347826087,0
288,2,1,94,20.18811326044295,0
289,4,1,91,41.11944677284158,1
290,3,4,58,23.633587786259543,0
291,3,3,48,22.530201342281877,0
292,2,1,99,33.797483323226196,0
293,4,1,97,36.567192857987465,1
294,2,1,96,46.43819960861057,0
295,3,1,91,21.16519947555722,0
296,4,1,96,33.416389279709,1
297,3,1,96,36.46739576723527,0
298,3,1,96,25.82766130342922,0
299,3,1,96,34.54564356435644,0
300,2,1,97,34.38722078610724,0
301,2,1,99,35.2387960972383,0
302,2,1,93,31.661667263610315,0
303,1,1,95,23.766778936991702,0
304,2,1,99,32.03755769298524,0
305,4,1,99,26.72563253224329,1
306,4,1,93,34.05847198140702,1
307,3,1,94,25.139226744581098,0
308,2,1,97,33.100591016548464,0
309,2,1,93,24.45308216994964,0
310,3,1,96,25.19802404083649,0
311,5,1,96,30.400938926694806,1
312,4,1,92,24.598640799715515,1
313,3,1,97,29.986042823156225,0
314,2,1,97,25.325746691871455,0
315,4,1,93,20.178769308260577,1
316,5,1,94,34.15,1
317,4,2,98,36.73545717832023,1
318,4,1,91,22.386848764030365,1
319,3,1,90,28.606499867619803,0
320,3,1,92,32.684323978230715,0
321,4,4,69,42.77560975609756,1
322,4,1,84,19.905177791640675,1
323,3,2,82,26.98181818181818,0
324,3,3,72,44.084070796460175,0
325,2,1,88,59.498245614035085,0
326,3,2,27,16.627906976744185,0
327,4,11,63,25.06896551724138,1
328,2,1,95,35.68714600377596,0
329,3,1,96,37.867038539553754,0
330,3,1,96,48.61925601750547,0
331,1,1,98,50.85291154543623,0
